#,Comment,Pic ID,East Column,West Column,Infill,Cycle ID,MAX DISPL,MAX DRIFT,MAX FORCE,Group
1,,DSC_0638.JPG,x,,x,c7+,0.155366,0.193,122.481538,1
2,,DSC_0639.JPG,x,,x,c7+,,0.193,,1
3,angle,DSC_0641.JPG,,,x,c7+,,0.193,,1
4,,IMG_0026.JPG,x,,x,c7+,,0.193,,1
5,,IMG_0027.JPG,x,,x,c7+,,0.193,,1
6,angle,IMG_0028.JPG,x,,x,c7+,,0.193,,1
7,,IMG_0030.JPG,x,,x,c7+,,0.193,,1
8,,IMG_0031.JPG,x,,x,c7+,,0.193,,1
9,,IMG_0033.JPG,x,,x,c7+,,0.193,,1
10,,DSC_0644.JPG,x,,x,c7+,,0.193,,1
11,angle,DSC_0645.JPG,x,,,c7+,,0.193,,1
12,,IMG_0043.JPG,x,,,c7+,,0.193,,1
13,,IMG_1317.JPG,x,,x,c7+,,0.193,,1
14,angle,IMG_1318.JPG,x,,,c7+,,0.193,,1
1,,IMG_0035.JPG,,x,x,c7-,-0.144574,-0.18,-115.758462,2
2,,IMG_0036.JPG,,x,x,c7-,,-0.18,,2
3,,IMG_0037.JPG,,x,x,c7-,,-0.18,,2
4,,IMG_0041.JPG,bottom,,x,c7-,,-0.18,,2
5,,IMG_0042.JPG,,x,x,c7-,,-0.18,,2
6,angle,IMG_1314.JPG,,x,,c7-,,-0.18,,2
7,angle,IMG_1315.JPG,,x,,c7-,,-0.18,,2
8,angle,IMG_1316.JPG,,x,,c7-,,-0.18,,2
1,angle,DSC_0653.JPG,x,,,c8+,0.160256,0.2,110.491538,3
2,,IMG_0047.JPG,x,,x,c8+,,0.2,,3
3,,IMG_0048.JPG,x,,x,c8+,,0.2,,3
4,,IMG_0049.JPG,x,,x,c8+,,0.2,,3
5,,DSC_0656.JPG,,bottom,,c8+,,0.2,,3
1,,DSC_0654.JPG,bottom,,,c8-,-0.160024,-0.199,-97.725462,4
2,,DSC_0655.JPG,,x,x,c8-,,-0.199,,4
3,,DSC_0657.JPG,,x,x,c8-,,-0.199,,4
1,,IMG_0052.JPG,x,,x,c9+,0.231276,0.288,111.241538,5
1,side view,DSC_0660.JPG,,x,,c9-,-0.238074,-0.296,-98.713462,6
2,side view,DSC_0661.JPG,,x,,c9-,,-0.296,,6
3,,DSC_0662.JPG,,x,x,c9-,,-0.296,,6
4,,IMG_0050.JPG,,x,x,c9-,,-0.296,,6
5,,IMG_0051.JPG,,x,x,c9-,,-0.296,,6
1,,IMG_0053.JPG,x,,x,c11+,0.342366,0.426,97.050538,7
2,,IMG_0054.JPG,,,,c11+,,0.426,,7
3,,IMG_0055.JPG,x,,x,c11+,,0.426,,7
4,zoom,IMG_0056.JPG,x,,,c11+,,0.426,,7
5,,IMG_0058.JPG,flipped,,flipped,c11+,,0.426,,7
6,,IMG_0059.JPG,flipped,,flipped,c11+,,0.426,,7
7,,IMG_0061.JPG,x,,x,c11+,,0.426,,7
8,,IMG_0062.JPG,x,,x,c11+,,0.426,,7
9,,IMG_1319.JPG,x,,x,c11+,,0.426,,7
1,,IMG_0060.JPG,,flipped,flipped,c11+,,0.426,,8
2,,IMG_0057.JPG,bottom,,,c11+,,0.426,,8
3,,IMG_0063.JPG,,x,x,c11-,-0.372484,-0.464,-89.576462,8
1,,IMG_0066.JPG,x,,x,c12+,0.350116,0.436,81.888538,9
2,,IMG_0067.JPG,x,,x,c12+,,0.436,,9
3,,IMG_0068.JPG,flipped,,flipped,c12+,,0.436,,9
1,zoomed in,IMG_0069.JPG,x,,x,c13+,0.477426,0.595,81.009538,10
2,zoomed in,IMG_0070.JPG,,,x,c13+,,0.595,,10
3,zoomed in,IMG_0072.JPG,x,,x,c13+,,0.595,,10
4,,IMG_0073.JPG,x,,x,c13+,,0.595,,10
1,,IMG_0071.JPG,,x,x,c13-,-0.472364,-0.588,-88.459462,11
2,,IMG_0074.JPG,,x,x,c13-,,-0.588,,11
1,,DSC_0664.JPG,flipped,flipped,,c14+,0.481356,0.599,70.792538,12
2,,DSC_0665.JPG,flipped,flipped,,c14+,,0.599,,12
3,,DSC_0673.JPG,x,x,,c14+,,0.599,,12
4,,DSC_0674.JPG,x,x,,c14+,,0.599,,12
5,,DSC_0677.JPG,,,,c14+,,0.599,,12
6,,IMG_0077.JPG,flipped,flipped,,c14+,,0.599,,12
7,,IMG_1321.JPG,x,,,c14+,,0.599,,12
8,,IMG_1322.JPG,x,,,c14+,,0.599,,12
1,,DSC_0663.JPG,,flipped,flipped,c14-,-0.479814,-0.598,-82.984462,13
2,,DSC_0666.JPG,,,flipped,c14-,,-0.598,,13
3,,DSC_0668.JPG,,flipped,flipped,c14-,,-0.598,,13
4,,DSC_0670.JPG,,x,x,c14-,,-0.598,,13
5,,DSC_0671.JPG,,,x,c14-,,-0.598,,13
6,,DSC_0675.JPG,,,x,c14-,,-0.598,,13
7,,DSC_0678.JPG,,flipped,flipped,c14-,,-0.598,,13
8,,IMG_0075.JPG,,flipped,,c14-,,-0.598,,13
9,,IMG_0076.JPG,,flipped,flipped,c14-,,-0.598,,13
10,,IMG_0078.JPG,,flipped,flipped,c14-,,-0.598,,13
11,,IMG_1323.JPG,,flipped,flipped,c14-,,-0.598,,13
12,,IMG_1324.JPG,,,,c14-,,-0.598,,13
